"age";"job";"marital";"education";"default";"balance";"housing";"loan";"day";"month";"duration";"campaign";"pdays";"previous";"poutcome";"y"
"41";38;"mana";"sing";"ter";"no";11971;"yes";"no";17;"nov";609;2;101;3;"fail";"no"
"42";36;"mana";"sing";"ter";"no";553;"no";"no";11;"aug";106;2;-1;0;"unk";"no"
"43";52;"bcol";"marr";"sec";"no";1117;"yes";"no";13;"may";365;1;-1;0;"unk";"no"
"44";32;"tech";"marr";"ter";"no";396;"yes";"no";13;"may";205;3;-1;0;"unk";"no"
"45";32;"tech";"sing";"ter";"no";224;"yes";"no";21;"nov";11;4;-1;0;"unk";"no"
"46";39;"mana";"sing";"ter";"no";872;"yes";"no";7;"may";105;2;-1;0;"unk";"no"
"47";55;"bcol";"marr";"prim";"no";145;"no";"no";2;"feb";59;3;5;2;"oth";"no"
"49";32;"ent";"sing";"prim";"yes";-849;"yes";"yes";4;"feb";204;1;-1;0;"unk";"no"
"50";61;"adm";"marr";"unk";"no";4629;"yes";"no";27;"jan";181;1;92;1;"suc";"yes"
"51";45;"bcol";"div";"prim";"no";844;"no";"no";5;"jun";1018;3;-1;0;"unk";"yes"
"52";37;"tech";"sing";"sec";"no";228;"yes";"no";20;"aug";1740;2;-1;0;"unk";"no"
"53";38;"tech";"sing";"sec";"no";5;"no";"no";29;"aug";98;2;-1;0;"unk";"no"
"54";56;"tech";"marr";"ter";"no";1539;"yes";"no";15;"jun";441;1;56;1;"oth";"yes"
"55";52;"bcol";"marr";"sec";"no";2231;"yes";"no";14;"jul";272;3;-1;0;"unk";"no"
"56";48;"adm";"marr";"sec";"no";364;"yes";"no";15;"jul";159;2;-1;0;"unk";"no"
"57";57;"mana";"marr";"sec";"no";82;"no";"yes";4;"feb";140;1;-1;0;"unk";"no"
"58";33;"semp";"sing";"ter";"no";2155;"no";"no";17;"nov";295;1;-1;0;"unk";"no"
"59";36;"ret";"sing";"sec";"no";11;"yes";"yes";26;"may";314;1;-1;0;"unk";"no"
"60";54;"tech";"div";"sec";"no";784;"yes";"yes";15;"may";579;1;-1;0;"unk";"no"
"61";41;"bcol";"marr";"prim";"no";-516;"no";"yes";8;"jul";554;3;-1;0;"unk";"no"
"62";63;"ret";"marr";"sec";"no";415;"yes";"no";7;"oct";323;1;-1;0;"unk";"no"
"63";48;"mana";"marr";"ter";"no";5887;"no";"no";13;"aug";227;2;-1;0;"unk";"no"
"64";48;"serv";"marr";"sec";"no";1355;"no";"no";4;"jul";134;2;-1;0;"unk";"no"
"65";56;"adm";"marr";"sec";"no";16873;"no";"no";7;"oct";223;1;-1;0;"unk";"no"
"66";51;"bcol";"div";"sec";"no";23;"yes";"no";8;"may";134;1;170;5;"fail";"no"
"67";31;"serv";"marr";"sec";"no";338;"yes";"no";28;"jan";155;1;-1;0;"unk";"no"
"68";29;"tech";"marr";"sec";"no";444;"yes";"no";21;"jul";130;4;-1;0;"unk";"no"
"70";32;"tech";"sing";"ter";"no";36;"no";"no";19;"nov";164;2;-1;0;"unk";"no"
"72";42;"ent";"div";"ter";"yes";2;"yes";"no";5;"may";380;1;-1;0;"unk";"no"
"73";31;"mana";"sing";"ter";"no";6248;"yes";"no";9;"may";154;2;-1;0;"unk";"no"
"74";41;"serv";"marr";"ter";"no";412;"yes";"no";3;"jun";154;5;-1;0;"unk";"no"
"75";56;"ret";"marr";"sec";"no";344;"yes";"no";15;"may";221;1;-1;0;"unk";"no"
"76";54;"mana";"div";"ter";"no";3222;"no";"no";14;"aug";67;2;-1;0;"unk";"no"
"77";41;"bcol";"div";"sec";"no";174;"yes";"no";14;"may";367;2;297;1;"oth";"no"
"78";40;"tech";"sing";"sec";"no";591;"no";"yes";14;"aug";87;6;-1;0;"unk";"no"
"79";50;"bcol";"div";"prim";"no";388;"no";"no";5;"feb";701;1;-1;0;"unk";"no"
"80";40;"unem";"marr";"sec";"no";219;"yes";"no";17;"nov";204;2;196;1;"fail";"no"
"81";27;"adm";"div";"sec";"no";451;"yes";"no";16;"jul";652;1;-1;0;"unk";"yes"
"82";60;"ret";"marr";"prim";"no";5;"no";"no";26;"aug";63;2;-1;0;"unk";"no"
"83";28;"adm";"sing";"sec";"no";177;"yes";"yes";6;"may";150;1;-1;0;"unk";"no"
"84";52;"serv";"marr";"sec";"no";657;"no";"no";7;"jul";398;2;460;2;"fail";"yes"
"85";37;"mana";"marr";"ter";"no";1315;"no";"no";30;"jun";224;1;-1;0;"unk";"yes"
"86";51;"bcol";"marr";"prim";"no";1466;"yes";"no";7;"may";406;2;-1;0;"unk";"no"
"87";41;"tech";"sing";"sec";"no";879;"no";"yes";7;"jul";60;4;-1;0;"unk";"no"
"88";33;"bcol";"sing";"prim";"no";293;"yes";"no";30;"may";521;2;-1;0;"unk";"no"
"89";38;"adm";"marr";"sec";"no";424;"yes";"no";17;"apr";279;1;-1;0;"unk";"no"
"90";40;"bcol";"marr";"sec";"no";1831;"yes";"no";20;"may";203;2;-1;0;"unk";"no"
"91";39;"bcol";"marr";"prim";"no";111;"no";"no";18;"nov";201;2;-1;0;"unk";"no"
"92";46;"bcol";"marr";"prim";"no";455;"yes";"no";20;"jun";372;3;-1;0;"unk";"no"
"93";27;"serv";"sing";"sec";"no";-195;"yes";"no";18;"may";391;1;-1;0;"unk";"yes"
"94";32;"mana";"sing";"ter";"no";3616;"no";"no";14;"aug";165;2;-1;0;"unk";"no"
"95";57;"bcol";"marr";"sec";"no";1493;"no";"no";11;"aug";231;5;-1;0;"unk";"no"
"96";41;"unk";"sing";"ter";"no";1567;"no";"no";1;"jul";291;2;-1;0;"unk";"no"
"97";41;"adm";"marr";"ter";"no";5426;"yes";"no";14;"may";149;2;-1;0;"unk";"no"
"98";30;"adm";"sing";"ter";"no";261;"no";"no";19;"oct";233;1;137;20;"fail";"no"
"99";36;"bcol";"div";"sec";"no";2843;"no";"no";12;"feb";473;1;182;1;"suc";"no"
"100";31;"unem";"sing";"prim";"no";46;"no";"no";4;"feb";736;1;-1;0;"unk";"yes"
"102";38;"mana";"sing";"ter";"no";493;"yes";"no";11;"may";553;1;367;7;"fail";"no"
"103";49;"tech";"marr";"sec";"no";5996;"no";"no";21;"nov";345;2;-1;0;"unk";"no"
"104";57;"serv";"sing";"prim";"no";3777;"yes";"no";13;"may";65;2;-1;0;"unk";"no"
"105";32;"mana";"sing";"sec";"no";524;"no";"no";13;"aug";9;1;-1;0;"unk";"no"
"106";32;"mana";"sing";"ter";"no";574;"yes";"no";14;"apr";259;2;145;3;"fail";"no"
"107";37;"bcol";"marr";"sec";"no";427;"yes";"yes";9;"jun";371;3;-1;0;"unk";"no"
"108";33;"semp";"marr";"ter";"no";483;"yes";"no";3;"feb";280;2;-1;0;"unk";"no"
"109";56;"unem";"marr";"prim";"no";3391;"no";"no";21;"apr";243;1;-1;0;"unk";"yes"
"111";21;"stu";"sing";"sec";"no";2488;"no";"no";30;"jun";258;6;169;3;"suc";"yes"
"112";58;"mana";"marr";"ter";"no";1517;"yes";"no";29;"jul";7;5;-1;0;"unk";"no"
"113";32;"semp";"marr";"sec";"no";217;"yes";"yes";15;"jul";317;5;-1;0;"unk";"no"
"114";33;"bcol";"sing";"sec";"no";22;"no";"no";30;"jan";76;2;207;1;"fail";"no"
"115";25;"stu";"sing";"sec";"no";331;"no";"no";26;"aug";170;4;-1;0;"unk";"yes"
"116";25;"tech";"sing";"sec";"no";55;"no";"yes";17;"nov";386;2;-1;0;"unk";"yes"
"117";30;"serv";"marr";"sec";"no";188;"yes";"no";18;"may";83;2;-1;0;"unk";"no"
"118";22;"adm";"sing";"sec";"no";4111;"no";"yes";19;"aug";65;1;-1;0;"unk";"no"
"119";39;"bcol";"marr";"prim";"no";52;"no";"no";13;"aug";69;1;-1;0;"unk";"no"
"120";46;"mana";"div";"ter";"no";25;"no";"no";17;"jun";564;2;-1;0;"unk";"no"
"121";31;"adm";"div";"sec";"no";189;"yes";"no";21;"jul";588;1;-1;0;"unk";"no"
"122";45;"bcol";"marr";"prim";"no";419;"no";"no";18;"aug";113;4;-1;0;"unk";"no"
"123";32;"tech";"marr";"sec";"no";2693;"yes";"no";21;"may";16;1;-1;0;"unk";"no"
"124";36;"bcol";"marr";"sec";"no";-231;"no";"yes";15;"jul";779;2;-1;0;"unk";"no"
"125";51;"mana";"sing";"ter";"yes";-55;"yes";"no";11;"may";281;2;266;6;"fail";"no"
"126";40;"semp";"sing";"ter";"no";462;"no";"no";21;"aug";1877;3;-1;0;"unk";"yes"
"127";29;"unem";"sing";"sec";"no";119;"no";"no";15;"sep";51;1;-1;0;"unk";"no"
"128";45;"tech";"sing";"sec";"no";586;"no";"yes";28;"jul";32;3;-1;0;"unk";"no"
"129";32;"bcol";"sing";"sec";"no";228;"no";"no";5;"feb";176;1;288;3;"fail";"no"
"130";49;"ret";"div";"ter";"no";4659;"no";"no";14;"apr";161;1;-1;0;"unk";"yes"
"131";41;"bcol";"marr";"prim";"no";168;"yes";"no";18;"nov";187;3;-1;0;"unk";"no"
"133";43;"bcol";"marr";"unk";"yes";-715;"yes";"no";30;"may";67;3;-1;0;"unk";"no"
"135";27;"tech";"sing";"sec";"no";769;"yes";"no";9;"may";317;2;-1;0;"unk";"no"
"137";29;"adm";"sing";"sec";"no";428;"yes";"yes";7;"may";54;1;345;2;"fail";"no"
"139";52;"mana";"marr";"ter";"no";-97;"yes";"no";4;"feb";489;1;-1;0;"unk";"yes"
"140";60;"mana";"marr";"unk";"no";6313;"no";"no";19;"jun";39;2;-1;0;"unk";"no"
"141";32;"mana";"div";"ter";"no";948;"no";"no";12;"aug";204;2;-1;0;"unk";"no"
"143";56;"serv";"div";"unk";"no";1877;"yes";"no";30;"may";86;1;-1;0;"unk";"no"
"144";31;"mana";"sing";"ter";"no";874;"yes";"no";18;"nov";190;2;-1;0;"unk";"no"
"145";42;"adm";"marr";"sec";"no";323;"yes";"yes";8;"may";280;2;-1;0;"unk";"no"
"146";37;"mana";"marr";"ter";"no";16;"no";"yes";11;"aug";588;2;-1;0;"unk";"no"
"147";56;"ret";"marr";"prim";"no";196;"no";"yes";19;"jun";45;9;-1;0;"unk";"no"
"148";48;"tech";"marr";"sec";"no";1152;"yes";"no";21;"jul";168;5;-1;0;"unk";"no"
"149";46;"adm";"marr";"sec";"no";179;"yes";"no";29;"jan";194;4;436;1;"oth";"no"
"150";37;"tech";"sing";"unk";"no";391;"yes";"no";8;"may";103;3;-1;0;"unk";"no"
"151";41;"ent";"marr";"unk";"no";89;"yes";"no";6;"may";333;2;-1;0;"unk";"no"
"152";36;"mana";"sing";"ter";"no";442;"yes";"yes";29;"jul";102;3;-1;0;"unk";"no"
"153";45;"unem";"div";"prim";"yes";-249;"yes";"yes";1;"jul";92;1;-1;0;"unk";"no"
"154";55;"ent";"marr";"sec";"no";814;"no";"no";6;"feb";213;2;-1;0;"unk";"no"
"155";39;"tech";"marr";"sec";"no";51;"no";"no";26;"may";289;1;-1;0;"unk";"no"
"156";29;"tech";"div";"sec";"no";38;"no";"no";22;"aug";77;2;-1;0;"unk";"no"
"157";55;"adm";"marr";"sec";"no";62;"no";"no";1;"jun";324;3;90;2;"suc";"yes"
"158";55;"tech";"marr";"sec";"no";273;"yes";"no";29;"jan";84;3;183;3;"fail";"no"
"159";27;"semp";"sing";"sec";"no";5;"no";"no";29;"jan";168;1;-1;0;"unk";"no"
"160";57;"tech";"marr";"sec";"no";1641;"yes";"no";17;"apr";380;1;-1;0;"unk";"no"
"161";57;"bcol";"marr";"ter";"no";2;"no";"no";4;"oct";10;1;-1;0;"unk";"no"
"162";25;"adm";"sing";"sec";"no";459;"yes";"no";28;"may";199;2;-1;0;"unk";"no"
"163";41;"adm";"sing";"sec";"no";-256;"no";"yes";9;"may";35;3;-1;0;"unk";"no"
"164";43;"serv";"marr";"sec";"no";978;"yes";"yes";26;"may";82;2;-1;0;"unk";"no"
"165";28;"mana";"sing";"ter";"no";8;"no";"no";20;"oct";676;2;146;2;"fail";"yes"
"166";31;"adm";"sing";"sec";"no";214;"yes";"no";3;"jun";455;1;-1;0;"unk";"no"
"167";78;"hous";"marr";"sec";"no";499;"no";"no";16;"mar";80;4;-1;0;"unk";"no"
"168";45;"bcol";"div";"sec";"no";1269;"yes";"no";29;"jan";549;2;-1;0;"unk";"no"
"169";48;"tech";"marr";"ter";"no";31;"no";"no";6;"may";135;1;-1;0;"unk";"no"
"170";32;"bcol";"sing";"sec";"no";1143;"yes";"yes";10;"jul";412;1;-1;0;"unk";"no"
"171";42;"tech";"marr";"sec";"no";298;"no";"no";20;"jun";101;3;-1;0;"unk";"no"
"172";37;"mana";"sing";"ter";"no";37;"no";"no";28;"jan";253;2;-1;0;"unk";"no"
"173";40;"adm";"sing";"sec";"no";462;"yes";"yes";6;"apr";272;1;335;4;"oth";"no"
"174";32;"adm";"marr";"sec";"no";131;"yes";"no";17;"jul";84;1;-1;0;"unk";"no"
"175";42;"mana";"marr";"ter";"no";99;"no";"no";20;"nov";135;2;-1;0;"unk";"no"
"176";43;"adm";"marr";"sec";"no";-465;"yes";"yes";23;"jul";166;1;-1;0;"unk";"no"
"177";44;"adm";"marr";"sec";"no";5181;"yes";"yes";31;"jul";18;7;-1;0;"unk";"no"
"178";37;"adm";"marr";"sec";"no";176;"yes";"no";5;"may";147;2;347;1;"fail";"no"
"179";37;"unk";"marr";"unk";"no";1699;"no";"no";9;"jun";63;1;-1;0;"unk";"no"
"181";28;"tech";"sing";"ter";"no";172;"yes";"yes";2;"feb";194;2;-1;0;"unk";"no"
"183";30;"adm";"sing";"sec";"no";6979;"yes";"no";15;"may";14;5;-1;0;"unk";"no"
"184";40;"adm";"div";"sec";"no";6;"no";"no";11;"jun";140;1;-1;0;"unk";"no"
"185";32;"serv";"marr";"sec";"no";-62;"yes";"no";16;"jun";109;3;-1;0;"unk";"no"
"186";36;"semp";"marr";"ter";"no";1972;"yes";"no";23;"jul";61;2;-1;0;"unk";"no"
"187";49;"adm";"marr";"ter";"no";899;"yes";"no";19;"nov";377;3;7;4;"suc";"no"
"188";37;"serv";"sing";"sec";"no";21;"yes";"no";2;"feb";96;1;271;2;"oth";"no"
"189";36;"tech";"marr";"sec";"no";23;"yes";"no";8;"may";152;2;347;1;"fail";"no"
"190";56;"ret";"marr";"sec";"no";-126;"yes";"no";15;"jun";382;2;-1;0;"unk";"yes"
"192";33;"semp";"marr";"sec";"no";215;"yes";"no";29;"jul";543;12;-1;0;"unk";"no"
"193";30;"mana";"sing";"ter";"no";1372;"no";"no";20;"nov";240;2;-1;0;"unk";"no"
"194";36;"serv";"marr";"sec";"no";1981;"no";"no";17;"jun";48;2;-1;0;"unk";"no"
"195";23;"stu";"sing";"sec";"no";9216;"no";"no";5;"jun";471;2;-1;0;"unk";"no"
"196";57;"ret";"div";"sec";"no";39;"yes";"no";30;"jul";354;3;-1;0;"unk";"no"
"197";27;"bcol";"sing";"sec";"no";5563;"yes";"no";30;"may";435;2;-1;0;"unk";"no"
"198";38;"serv";"marr";"sec";"no";1;"no";"yes";21;"nov";152;2;-1;0;"unk";"no"
"199";42;"tech";"marr";"ter";"no";782;"no";"no";3;"apr";285;1;-1;0;"unk";"no"
"200";75;"ret";"marr";"sec";"no";3771;"no";"no";15;"apr";185;1;181;2;"suc";"yes"
"201";55;"tech";"sing";"ter";"no";992;"yes";"no";4;"may";301;1;88;2;"suc";"no"
"202";48;"tech";"marr";"sec";"no";1526;"no";"no";6;"aug";273;2;-1;0;"unk";"no"
"203";44;"tech";"sing";"ter";"no";2658;"yes";"no";19;"aug";768;2;141;3;"fail";"yes"
"204";39;"mana";"div";"ter";"no";1315;"yes";"no";19;"nov";1337;4;126;1;"fail";"no"
"205";29;"bcol";"sing";"ter";"no";455;"no";"no";21;"apr";403;1;-1;0;"unk";"yes"
"207";42;"tech";"marr";"sec";"no";23;"yes";"yes";9;"jul";196;1;-1;0;"unk";"no"
"208";29;"tech";"marr";"sec";"no";1599;"yes";"no";8;"jul";115;1;61;1;"fail";"no"
"209";38;"serv";"sing";"sec";"no";-196;"yes";"no";2;"feb";60;1;271;1;"fail";"no"
"210";56;"ret";"marr";"sec";"no";1333;"no";"no";28;"aug";17;14;-1;0;"unk";"no"
"211";36;"tech";"sing";"sec";"no";9149;"yes";"no";13;"aug";141;3;-1;0;"unk";"no"
"212";25;"bcol";"sing";"sec";"no";-35;"yes";"no";23;"jun";95;3;-1;0;"unk";"no"
"213";38;"tech";"marr";"ter";"no";432;"yes";"no";15;"may";10;2;373;1;"oth";"no"
"214";57;"semp";"marr";"sec";"no";11494;"no";"no";19;"nov";198;1;-1;0;"unk";"no"
"215";31;"mana";"marr";"ter";"yes";-253;"no";"no";12;"aug";220;4;-1;0;"unk";"no"
"216";42;"mana";"marr";"ter";"no";372;"yes";"no";3;"aug";654;2;-1;0;"unk";"yes"
"217";45;"tech";"marr";"sec";"no";141;"no";"no";11;"aug";71;2;-1;0;"unk";"no"
"218";30;"bcol";"marr";"sec";"no";975;"yes";"no";13;"may";256;2;351;2;"fail";"no"
"219";49;"bcol";"marr";"prim";"no";35;"yes";"yes";10;"jul";834;10;-1;0;"unk";"no"
"220";49;"serv";"marr";"sec";"no";4;"no";"no";21;"aug";151;3;-1;0;"unk";"no"
"221";23;"ret";"marr";"ter";"no";-22;"yes";"no";31;"jul";20;3;-1;0;"unk";"no"
"222";37;"tech";"marr";"sec";"no";43;"yes";"no";26;"may";178;5;-1;0;"unk";"no"
"223";49;"bcol";"marr";"prim";"no";365;"no";"no";26;"may";59;2;-1;0;"unk";"no"
"224";41;"semp";"marr";"prim";"no";24;"no";"no";13;"aug";111;7;-1;0;"unk";"no"
"225";54;"mana";"marr";"prim";"no";1691;"yes";"no";20;"nov";186;1;-1;0;"unk";"no"
"226";32;"serv";"sing";"sec";"no";46;"yes";"no";6;"may";227;1;-1;0;"unk";"no"
"227";33;"tech";"marr";"sec";"no";-24;"no";"no";15;"may";297;3;-1;0;"unk";"no"
"228";33;"tech";"marr";"sec";"no";359;"yes";"no";20;"apr";210;1;242;1;"oth";"no"
"229";36;"bcol";"marr";"prim";"no";123;"yes";"no";18;"may";9;1;-1;0;"unk";"no"
"231";52;"unk";"marr";"sec";"no";142;"no";"no";25;"aug";112;6;-1;0;"unk";"no"
"232";40;"ent";"marr";"ter";"no";3571;"no";"no";9;"jun";222;3;-1;0;"unk";"no"
"233";44;"tech";"sing";"sec";"no";33;"yes";"no";13;"may";195;3;351;10;"fail";"no"
"235";30;"stu";"sing";"sec";"no";396;"no";"no";26;"jan";123;1;-1;0;"unk";"no"
"236";48;"tech";"div";"sec";"yes";2;"no";"no";27;"aug";145;3;-1;0;"unk";"no"
"237";33;"bcol";"marr";"sec";"no";3576;"yes";"no";2;"apr";124;1;308;2;"oth";"no"
"238";57;"tech";"marr";"unk";"no";26;"yes";"no";5;"may";216;3;-1;0;"unk";"no"
"239";57;"hous";"marr";"prim";"no";782;"no";"no";6;"jun";69;3;-1;0;"unk";"no"
"240";51;"unem";"marr";"ter";"no";1634;"yes";"no";22;"jul";168;4;-1;0;"unk";"no"
"241";39;"adm";"sing";"sec";"no";1;"yes";"no";22;"jul";483;7;-1;0;"unk";"no"
"242";50;"semp";"marr";"ter";"no";412;"no";"no";19;"nov";690;3;-1;0;"unk";"no"
"243";44;"mana";"marr";"ter";"no";3762;"no";"no";28;"aug";125;12;-1;0;"unk";"no"
"244";27;"adm";"marr";"sec";"no";-247;"yes";"yes";4;"jun";344;2;-1;0;"unk";"no"
"245";50;"bcol";"marr";"sec";"no";66;"yes";"no";14;"may";673;2;-1;0;"unk";"no"
"247";42;"mana";"marr";"sec";"no";-189;"yes";"no";12;"may";247;2;-1;0;"unk";"no"
"249";42;"mana";"marr";"ter";"no";484;"yes";"no";11;"jul";144;2;-1;0;"unk";"no"
"251";31;"mana";"marr";"ter";"no";395;"yes";"no";9;"feb";155;3;-1;0;"unk";"no"
"252";32;"mana";"marr";"ter";"no";2349;"no";"no";14;"aug";134;5;-1;0;"unk";"no"
"253";55;"bcol";"div";"prim";"no";41;"no";"yes";11;"jul";221;2;-1;0;"unk";"no"
"254";58;"ret";"marr";"prim";"no";341;"yes";"no";3;"feb";84;3;265;2;"fail";"no"
"255";46;"bcol";"marr";"prim";"no";222;"no";"no";8;"aug";71;2;-1;0;"unk";"no"
"256";55;"bcol";"marr";"sec";"no";989;"yes";"yes";23;"may";246;4;-1;0;"unk";"no"
"257";40;"mana";"marr";"ter";"no";415;"no";"yes";23;"jul";361;2;-1;0;"unk";"no"
"258";28;"unem";"sing";"sec";"no";16;"no";"no";12;"aug";119;4;-1;0;"unk";"no"
"259";42;"tech";"div";"ter";"no";719;"yes";"no";29;"jul";375;2;-1;0;"unk";"no"
"260";29;"bcol";"sing";"sec";"no";482;"no";"yes";10;"jul";1097;3;-1;0;"unk";"yes"
"261";54;"hous";"marr";"sec";"no";29;"yes";"yes";25;"jul";97;1;-1;0;"unk";"no"
"263";39;"tech";"sing";"ter";"no";583;"no";"no";2;"feb";83;3;-1;0;"unk";"no"
"264";43;"ent";"marr";"ter";"no";624;"no";"yes";21;"jul";180;4;-1;0;"unk";"no"
"265";58;"tech";"marr";"ter";"no";883;"no";"no";18;"aug";543;1;78;2;"fail";"no"
"266";40;"semp";"marr";"sec";"no";1516;"yes";"yes";23;"may";373;1;-1;0;"unk";"no"
"267";29;"stu";"sing";"sec";"no";872;"yes";"no";7;"may";230;1;-1;0;"unk";"no"
"268";33;"tech";"marr";"ter";"no";-988;"yes";"yes";15;"jul";83;3;-1;0;"unk";"no"
"269";38;"adm";"sing";"sec";"no";92;"yes";"no";31;"jul";58;13;-1;0;"unk";"no"
"270";56;"serv";"div";"sec";"no";17;"no";"no";29;"jul";88;6;-1;0;"unk";"no"
"272";59;"bcol";"sing";"sec";"no";174;"yes";"yes";18;"may";487;1;-1;0;"unk";"yes"
"273";46;"mana";"marr";"sec";"no";12186;"no";"no";20;"jun";29;3;-1;0;"unk";"no"
"274";42;"semp";"marr";"sec";"no";524;"yes";"no";21;"nov";484;4;-1;0;"unk";"no"
"276";43;"tech";"marr";"sec";"no";4;"yes";"no";15;"may";644;1;-1;0;"unk";"no"
"277";60;"hous";"marr";"ter";"no";11219;"no";"no";12;"aug";699;2;79;1;"fail";"no"
"279";50;"bcol";"marr";"prim";"no";5776;"no";"no";18;"nov";49;3;-1;0;"unk";"no"
"280";51;"bcol";"div";"prim";"no";37;"yes";"no";13;"may";341;1;-1;0;"unk";"no"
"281";59;"semp";"marr";"ter";"no";593;"no";"no";13;"may";64;2;-1;0;"unk";"no"
"282";32;"bcol";"marr";"sec";"no";1148;"yes";"no";20;"apr";121;1;-1;0;"unk";"no"
"283";37;"bcol";"sing";"sec";"no";3561;"yes";"no";2;"jun";98;1;-1;0;"unk";"no"
"284";42;"adm";"div";"sec";"no";63;"no";"no";16;"may";88;6;-1;0;"unk";"no"
"285";40;"stu";"marr";"sec";"no";26;"no";"no";20;"jun";197;6;-1;0;"unk";"no"
"286";28;"tech";"sing";"ter";"no";2269;"yes";"no";9;"may";331;1;-1;0;"unk";"no"
"287";47;"adm";"marr";"sec";"no";16;"yes";"no";6;"jun";83;3;-1;0;"unk";"no"
"288";27;"semp";"marr";"sec";"no";-22;"yes";"no";26;"may";138;2;-1;0;"unk";"no"
"289";41;"mana";"marr";"ter";"no";49;"yes";"no";17;"jul";312;5;-1;0;"unk";"no"
"290";60;"adm";"marr";"ter";"no";69;"no";"yes";4;"aug";120;3;1;6;"suc";"yes"
"291";50;"bcol";"marr";"prim";"no";418;"yes";"no";7;"aug";526;2;-1;0;"unk";"yes"
"292";47;"bcol";"marr";"sec";"no";48;"yes";"no";28;"may";211;2;-1;0;"unk";"no"
